Kabupaten_Kota,Tanggal,RF_Pred,LGBM_Pred,Blended_Pred
Kabupaten Sidoarjo,2025-03-01,19606.1869,10232.037498451042,14919.112199225521
Kabupaten Sidoarjo,2025-04-01,31771.583300000002,20441.047532761015,26106.31541638051
Kabupaten Sidoarjo,2025-05-01,36380.4017,29742.520999022156,33061.46134951108
Kabupaten Sidoarjo,2025-06-01,19674.112600000008,21855.018716956045,20764.565658478026
Kabupaten Sidoarjo,2025-07-01,10861.193699999998,13894.133908168975,12377.663804084486
Kabupaten Sidoarjo,2025-08-01,9088.467800000002,7256.271248922401,8172.369524461202
Kabupaten Sidoarjo,2025-09-01,31762.306999999997,16537.719944369608,24150.0134721848
Kabupaten Sidoarjo,2025-10-01,32792.95009999999,19635.33157265143,26214.140836325707
Kabupaten Sidoarjo,2025-11-01,22665.466200000003,22004.157835781298,22334.81201789065
Kabupaten Sidoarjo,2025-12-01,5978.052600000003,8769.016101914394,7373.5343509571985
Kabupaten Situbondo,2025-01-01,7457.1131,6128.428007903161,6792.770553951581
Kabupaten Situbondo,2025-02-01,20478.425300000014,13103.810944722476,16791.118122361244
Kabupaten Situbondo,2025-03-01,35950.220900000015,32663.811867782304,34307.01638389116
Kabupaten Situbondo,2025-04-01,32216.59080000002,23287.798368023017,27752.19458401152
Kabupaten Situbondo,2025-05-01,15115.354500000005,16506.812299399953,15811.083399699979
Kabupaten Situbondo,2025-06-01,10789.428699999999,14379.570796379297,12584.499748189648
Kabupaten Situbondo,2025-07-01,17731.043599999997,18632.48680863834,18181.76520431917
Kabupaten Situbondo,2025-08-01,15947.087000000001,16568.346490180782,16257.71674509039
Kabupaten Situbondo,2025-09-01,8778.173500000003,10568.988919428588,9673.581209714295
Kabupaten Situbondo,2025-10-01,5787.7664,4198.248080935438,4993.007240467719
Kabupaten Situbondo,2025-11-01,6239.715200000001,5395.459659362137,5817.587429681069
Kabupaten Situbondo,2025-12-01,5937.834999999999,6514.084684982301,6225.95984249115
Kabupaten Sumenep,2025-01-01,768.0681500000001,309.4642658612588,538.7662079306294
Kabupaten Sumenep,2025-02-01,3699.6510500000004,3089.782362512752,3394.7167062563763
Kabupaten Sumenep,2025-03-01,47723.49769999998,79904.2323783175,63813.865039158736
Kabupaten Sumenep,2025-04-01,83408.81339999996,73452.76265903866,78430.78802951932
Kabupaten Sumenep,2025-05-01,15025.842400000001,17123.150556661338,16074.49647833067
Kabupaten Sumenep,2025-06-01,7289.8857,7310.742401951872,7300.314050975936
Kabupaten Sumenep,2025-07-01,13142.091100000005,15224.710551257416,14183.40082562871
Kabupaten Sumenep,2025-08-01,19351.433199999985,15555.189366108481,17453.311283054234
Kabupaten Sumenep,2025-09-01,6735.282399999996,6965.879076823662,6850.580738411829
Kabupaten Sumenep,2025-10-01,1906.8720499999995,529.6682254509878,1218.2701377254937
Kabupaten Sumenep,2025-11-01,1431.3546000000001,0.0,498.4417225384814
Kabupaten Sumenep,2025-12-01,838.2858499999999,4239.378491993043,2538.8321709965217
Kabupaten Trenggalek,2025-01-01,1639.2175000000007,2575.106444175506,2107.1619720877534
Kabupaten Trenggalek,2025-02-01,1648.7772999999993,526.1196481109217,1087.4484740554606
Kabupaten Trenggalek,2025-03-01,7442.9427000000005,5917.173562268114,6680.0581311340575
Kabupaten Trenggalek,2025-04-01,26799.580500000004,23362.013406848007,25080.796953424004
Kabupaten Trenggalek,2025-05-01,14731.945500000003,17505.722775128175,16118.834137564088
Kabupaten Trenggalek,2025-06-01,6364.626800000004,6622.305413620679,6493.466106810341
Kabupaten Trenggalek,2025-07-01,5617.575099999999,4069.184951176999,4843.380025588499
Kabupaten Trenggalek,2025-08-01,18173.6452,18314.893434949263,18244.26931747463
Kabupaten Trenggalek,2025-09-01,6723.321599999998,8622.628094231488,7672.974847115744
Kabupaten Trenggalek,2025-10-01,4690.4981,2537.846323552867,3614.1722117764334
